emotion ,Song,songName,artist,coverImage,duration
bitter,spotify:track:4ygmfgdQxZHj3Ty7jccYId,Second Best,Pedro The Lion,https://i.scdn.co/image/ab67616d0000b273e001e1438437cc9de5b64aab,5:59
bitter,spotify:track:1Bpbt1KLBTKdkJ2bpYHOcn,Only Lovers Left Alive,The Long Blondes,https://i.scdn.co/image/ab67616d0000b273e4e41e4b6165bbc84512ade6,4:01
bitter,spotify:track:3nJvdMhOmRW4cRLw0NN7qC,Sluttering (May 4th),Jawbreaker,https://i.scdn.co/image/ab67616d0000b2739949699fa52276dc7bd0e2a0,4:14
,,,,,
relaxed,spotify:track:4l4IytuWNPZaN5EU80TTCO,Acoustic Guitar,The Magnetic Fields,https://i.scdn.co/image/ab67616d0000b2738557eb24f6c4bbbab97ea629,2:37
relaxed,spotify:track:1Q3ku4n6R1Ax3IYTEevKIH,Zawinul/Lava - 2004 Digital Remaster,Brian Eno,https://i.scdn.co/image/ab67616d0000b27384d9788915697efd5cbf56f4,3:00
relaxed,spotify:track:1LQeB9oE9huniZscIcJPnJ,Listening To Otis Redding At Home During Christmas,Okkervil River,https://i.scdn.co/image/ab67616d0000b2737e144491abb590dfafcf40d5,6:36
relaxed,spotify:track:5o9K3YlvfjPJG13P1QdhIS,Feel The Sun,Melanie C,https://i.scdn.co/image/ab67616d0000b2736809892ec4db63e0a6ee661c,5:02
relaxed,spotify:track:7L2lNIIncKpFE1q4L9as0B,Smile,Tamia,https://i.scdn.co/image/ab67616d0000b2733ee270a08b4666233fa406aa,5:11
relaxed,spotify:track:6mdNAmgPootUGlAj5nJP65,My Love,Lene Marlin,https://i.scdn.co/image/ab67616d0000b273af9f0dc39601b8e242e4fbd3,4:29
relaxed,spotify:track:41ZnzVlD0Kxmv1mT9mYvfT,Never Without You,Ringo Starr,https://i.scdn.co/image/ab67616d0000b27303214939ce1d8a19be308f21,5:23
relaxed,spotify:track:1JohSkkLm7b7i0rFTiLkDs,From This Day,Lene Marlin,https://i.scdn.co/image/ab67616d0000b273af9f0dc39601b8e242e4fbd3,4:37
relaxed,spotify:track:5K2NLAT5uGbOPB2jM4M7PB,Cold Wind Blowing,Maximilian Hecker,https://i.scdn.co/image/ab67616d0000b273cfc39a903b24162f32bbdac6,7:25
relaxed,spotify:track:1QhUAUifMYzW94VJ1ba9Mj,In My Secret Life,"Till Brönner, Carla Bruni",https://i.scdn.co/image/ab67616d0000b2739a7d4e31c642a9c4439f3394,5:38
lonely,spotify:track:2rIXx3Ojiq74qAbq1dA0cl,Midnight's Another Day,Brian Wilson,https://i.scdn.co/image/ab67616d0000b27325a8a61f54a15512e2f22ff2,3:57
,,,,,
,,,,,
lonely,spotify:track:7C3dPj582IOLK5vwbaWyQO,I Know,Trespassers William,https://i.scdn.co/image/ab67616d0000b273f5fd4f1b18f7cfc4caba6ed3,5:03
lonely,spotify:track:7qzNfbSht1g8XOa1DWBgEd,Jesse,Janis Ian,https://i.scdn.co/image/ab67616d0000b273c46584b3e281040eb9cac2a7,5:23
,,,,,
,,,,,
lonely,spotify:track:5mx0WNN9G7n6VVZkkYRpep,Ache (Demo Version),James Carrington,https://i.scdn.co/image/ab67616d0000b2737b36041dc14c2a8a6b5133b2,5:20
lonely,spotify:track:1101DfjFvPkPdIpUcmWvee,Where The Colors Don't Go,Sam Phillips,https://i.scdn.co/image/ab67616d0000b273ed5dccf6523038f878380b3b,3:01
,,,,,
energetic,spotify:track:4KSQ9el0QgTKKie5oCtKLe,Pocket Full Of Gold,American Authors,https://i.scdn.co/image/ab67616d0000b273c32b9cb61b201e9846a18370,3:00
energetic,spotify:track:6P0dI2yAf2cmg4UrCcStwE,Waiting For You,Grizfolk,https://i.scdn.co/image/ab67616d0000b273bda2178fd88a11c96dde5e2e,3:57
energetic,spotify:track:2G1T3kqYNyhMjXbqZ4e3vX,Salvation,The Strumbellas,https://i.scdn.co/image/ab67616d0000b273ee011f914bef2c3b97e190cd,3:23
energetic,spotify:track:2r12KCHNv0p7JQJsGt3vYK,Hymnals - RAC Mix,"Grizfolk, RAC",https://i.scdn.co/image/ab67616d0000b273d67e49e214f0c3f5f153ad2b,3:39
energetic,spotify:track:2dyrLrVopYKGc3H9oOYSmZ,Problems,"Don Diablo, JLV, John K",https://i.scdn.co/image/ab67616d0000b2733ef0ae75afb0ad9c0ab9e9f4,2:59
energetic,spotify:track:7AxA87dIJ1FF4l1BQ98ZCZ,Somebody To Love,Axel Black & White,https://i.scdn.co/image/ab67616d0000b273d34d7b0821d2b7e33df9d7dd,2:21
,,,,,
energetic,spotify:track:6kjeIqdUFA5p6GCtW8PzF3,As Long as You're Here,Telehope,https://i.scdn.co/image/ab67616d0000b273ef670d40d5d2dd2108ba6878,3:17
energetic,spotify:track:69DR48pXzSabFUfQfDDJDb,Make Me Wanna,Thomas Rhett,https://i.scdn.co/image/ab67616d0000b273773dd1a2c1e8b1475810e4be,3:45
energetic,spotify:track:0El2Zyt68nYySFDG87hZgM,Sun Daze,Florida Georgia Line,https://i.scdn.co/image/ab67616d0000b273bd332d2928aa8876d1994051,3:04
soothing,spotify:track:5GQV23YPiTRGisOvRPwmdI,The Tide Pulls From the Moon,William Fitzsimmons,https://i.scdn.co/image/ab67616d0000b2736c73b93a1504d856268dad52,3:39
